NAME,CHICKEN,BEEF,PORK,KANGAROO,LAMB,HUMANFOOD,DENTAL,HARDNESS,PROTEIN,FAT,PRICE,WINS,
bacon strip,1,0,1,0,0,0,0,0.5,0.240,0.090,4.90,0.60,
bread,0,0,0,0,0,1,0,0.5,0.091,0.026,0.77,0.40,
cheese,0,0,0,0,0,1,0,0.5,0.255,0.327,1.20,0.40,
chicken tender,1,0,0,0,0,0,0,1.0,0.630,0.020,7.40,0.50,
chunkers,1,0,0,0,0,0,0,0.5,0.145,0.095,0.43,0.80,
dentalife,1,0,0,0,0,0,1,0.5,0.060,0.015,2.35,0.60,
dentastix,0,0,1,0,0,0,1,0.5,0.096,0.018,1.62,0.40,
fish tender,0,0,0,0,0,0,0,1.0,0.550,0.030,9.25,0.40,
greenies,1,0,0,0,0,0,1,0.5,0.300,0.055,7.65,0.60,
liver piece,0,1,0,0,0,0,0,1.0,0.620,0.128,4.00,0.40,
nature's gift,1,1,0,1,1,0,0,0.0,0.070,0.090,0.29,0.70,
papadam,0,0,0,0,0,1,0,0.75,0.213,0.017,1.50,0.00,
peanut butter,0,0,0,0,0,1,0,0.0,0.254,0.528,0.48,0.50,
roo roll,0,1,0,1,0,0,0,1.0,0.696,0.069,6.76,0.80,
scrambled egg,0,0,0,0,0,1,0,0.0,0.122,0.099,0.86,0.40,
tyrell's chip,0,0,0,0,0,1,0,0.75,0.069,0.251,2.73,0.20,
ultimates beef,0,1,0,0,0,0,0,0.0,0.050,0.040,1.00,0.70,
ultimates chicken,1,0,0,0,0,0,0,0.0,0.050,0.050,1.00,0.80,
ultimates lamb,0,0,0,0,1,0,0,0.0,0.070,0.050,1.00,0.30,
yoghurt,0,0,0,0,0,1,0,0.0,0.038,0.100,0.75,0.50,
